epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.76361,1.90282,5.45185,2.24152,0.39762,0.21746,0.13883,0.07651,1.84644,5.26944,2.55062,0.0001125,0.0001125,0.0001125
2,9.94037,1.61403,3.59985,1.99075,0.05993,0.37619,0.12219,0.0575,1.86403,9.64213,2.60233,0.00023656,0.00023656,0.00023656
3,13.0777,1.45745,2.81889,1.74651,0.17788,0.17302,0.15607,0.07034,2.33705,4.3464,3.12412,0.000359629,0.000359629,0.000359629
4,16.107,1.61661,2.53256,1.82104,0.09663,0.21905,0.07317,0.02376,2.41485,3.58038,3.01428,0.000481709,0.000481709,0.000481709
5,19.1154,1.58396,2.25299,1.84636,0.42182,0.09841,0.03495,0.00711,3.10166,5.2248,3.72883,0.000602798,0.000602798,0.000602798
6,22.116,1.67145,2.24396,1.86527,0.15902,0.16984,0.08143,0.02536,2.84535,5.15817,3.72106,0.000722897,0.000722897,0.000722897
7,25.0293,1.63669,2.13372,1.8618,0.15253,0.37859,0.14508,0.04395,2.83849,6.89382,4.70599,0.000842007,0.000842007,0.000842007
8,27.8469,1.6193,2.07909,1.86096,0.50299,0.16667,0.21159,0.05355,2.73208,8.56487,4.57023,0.000960127,0.000960127,0.000960127
9,30.6531,1.66572,2.0979,1.86683,0.01521,0.09048,0.01298,0.00394,2.57729,6.44865,4.14632,0.00107726,0.00107726,0.00107726
10,33.438,1.54299,1.93721,1.78061,0.12248,0.28413,0.08574,0.03094,2.32708,3.74177,3.67326,0.0011934,0.0011934,0.0011934
11,36.2967,1.60239,1.9387,1.83537,0.37178,0.12381,0.02571,0.00801,3.26672,5.33356,4.73122,0.0012005,0.0012005,0.0012005
12,39.1672,1.6431,1.92396,1.84167,0.35785,0.07143,0.02918,0.01388,3.21277,4.14594,5.50606,0.00119555,0.00119555,0.00119555
13,42.1464,1.67059,2.01634,1.85893,0.01361,0.10476,0.00642,0.00231,3.23645,5.82681,5.64675,0.0011906,0.0011906,0.0011906
14,44.9514,1.66295,1.88295,1.8672,0.48292,0.04762,0.06554,0.01515,3.18769,5.60616,4.10181,0.00118565,0.00118565,0.00118565
15,47.7983,1.6896,1.77336,1.89541,0.11558,0.36349,0.12424,0.04648,2.70918,5.82524,3.80875,0.0011807,0.0011807,0.0011807
16,50.584,1.66406,1.76607,1.91461,0.19534,0.29621,0.12316,0.04834,2.74449,4.82207,3.69743,0.00117575,0.00117575,0.00117575
17,53.4222,1.6434,1.8556,1.91277,0.07561,0.16032,0.0362,0.00882,2.80198,5.92422,3.47312,0.0011708,0.0011708,0.0011708
18,56.2883,1.53835,1.8141,1.83106,0.24599,0.26349,0.16647,0.05523,2.58308,3.37562,3.18256,0.00116585,0.00116585,0.00116585
19,59.0991,1.58208,1.7803,1.84206,0.3948,0.23492,0.22476,0.08399,2.57388,3.28692,3.24562,0.0011609,0.0011609,0.0011609
20,62.068,1.52588,1.67379,1.81993,0.17022,0.27619,0.19293,0.08226,2.63951,3.31554,3.61513,0.00115595,0.00115595,0.00115595
21,64.9559,1.49945,1.68596,1.76284,0.3538,0.30159,0.28195,0.13759,2.51232,2.77192,3.18988,0.001151,0.001151,0.001151
22,67.9833,1.48,1.65386,1.76958,0.25082,0.30317,0.1631,0.07648,2.18781,3.43186,2.73959,0.00114605,0.00114605,0.00114605
23,70.9268,1.49835,1.68608,1.7674,0.30341,0.25397,0.23713,0.09276,2.54379,3.23032,3.08439,0.0011411,0.0011411,0.0011411
24,73.8112,1.49344,1.62151,1.75513,0.3843,0.42631,0.36528,0.14921,2.3353,2.21538,3.01588,0.00113615,0.00113615,0.00113615
25,76.8899,1.52471,1.66645,1.76628,0.32252,0.64798,0.33455,0.12588,2.3798,2.25527,3.0817,0.0011312,0.0011312,0.0011312
26,79.7847,1.52018,1.61688,1.76311,0.15539,0.6652,0.21527,0.08665,2.26239,3.69882,2.90695,0.00112625,0.00112625,0.00112625
27,82.6102,1.54927,1.67959,1.79139,0.29199,0.49206,0.30841,0.1269,2.16583,2.63963,2.68536,0.0011213,0.0011213,0.0011213
28,85.4113,1.5081,1.6157,1.74104,0.38618,0.28571,0.35419,0.13382,2.22637,2.77684,2.74911,0.00111635,0.00111635,0.00111635
29,88.1854,1.42358,1.51129,1.65342,0.25663,0.52381,0.33522,0.13092,2.29465,2.45238,2.95984,0.0011114,0.0011114,0.0011114
30,90.9884,1.50846,1.57305,1.72483,0.19524,0.32698,0.16941,0.07524,2.2357,3.61547,2.94648,0.00110645,0.00110645,0.00110645
31,93.8977,1.45922,1.63145,1.70118,0.32418,0.28413,0.23855,0.10069,2.19357,2.68416,2.80397,0.0011015,0.0011015,0.0011015
32,96.7383,1.44091,1.5118,1.68906,0.38003,0.44404,0.32021,0.10159,2.48291,2.6077,2.92834,0.00109655,0.00109655,0.00109655
33,99.6058,1.45824,1.54316,1.7308,0.38587,0.39683,0.3432,0.14126,2.29322,2.44127,2.91122,0.0010916,0.0010916,0.0010916
34,102.394,1.44518,1.47233,1.69243,0.39618,0.47496,0.34176,0.13607,2.27473,2.27412,2.89779,0.00108665,0.00108665,0.00108665
35,105.197,1.39987,1.51052,1.66955,0.2713,0.46912,0.27211,0.11671,2.09836,2.7107,2.56318,0.0010817,0.0010817,0.0010817
36,107.983,1.41695,1.42961,1.69931,0.27785,0.29349,0.24603,0.11919,2.23215,2.9409,2.98819,0.00107675,0.00107675,0.00107675
37,110.92,1.40686,1.40867,1.68641,0.20627,0.5,0.29059,0.13648,2.23923,2.53082,3.10107,0.0010718,0.0010718,0.0010718
38,114.151,1.40478,1.41411,1.66602,0.11831,0.29048,0.10466,0.04075,2.37577,3.81051,3.22323,0.00106685,0.00106685,0.00106685
39,117.348,1.46966,1.38211,1.7164,0.23727,0.4619,0.22461,0.12186,2.25398,2.98486,2.96985,0.0010619,0.0010619,0.0010619
