File Name,Class Name,Object Number,Confidence,BoundingBox
melanoma-017d__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.0cf42e79acc9b0d3723f188a4f5d8b6b.jpg,Acral Lentiginous,1,0.994,"[36, 8, 251, 216]"
melanoma-017d__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.0cf42e79acc9b0d3723f188a4f5d8b6b.jpg,Lentigo Maligna,2,0.787,"[36, 8, 250, 215]"
melanoma-017d__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.0cf42e79acc9b0d3723f188a4f5d8b6b.jpg,Nodular Melanoma,3,0.11,"[34, 9, 249, 215]"
melanoma-017d__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.0cf42e79acc9b0d3723f188a4f5d8b6b.jpg,Lentigo Maligna,4,0.06,"[47, 105, 225, 214]"
melanoma-017d__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.0cf42e79acc9b0d3723f188a4f5d8b6b.jpg,Acral Lentiginous,5,0.053,"[45, 1, 219, 70]"
mel14__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.9acf847cad4308f2c17a5fbb59bdbed1.jpg,Lentigo Maligna,1,0.957,"[131, 47, 262, 189]"
mel14__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.9acf847cad4308f2c17a5fbb59bdbed1.jpg,Acral Lentiginous,2,0.093,"[8, 62, 129, 220]"
mel14__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.9acf847cad4308f2c17a5fbb59bdbed1.jpg,Lentigo Maligna,3,0.056,"[0, 9, 72, 120]"
IMG_3225_fee391183f15cb4d62773032fe0be92d_jpg.rf.7e6a5cef661a21635a97a39de5ffa821.jpg,Acral Lentiginous,1,0.98,"[413, 265, 494, 358]"
IMG_3225_fee391183f15cb4d62773032fe0be92d_jpg.rf.7e6a5cef661a21635a97a39de5ffa821.jpg,Acral Lentiginous,2,0.138,"[398, 254, 540, 561]"
